,gain
O3_rm3,6303223.18347168
O3_lag1,6281670.88293457
NO2_lag1,6262530.895141602
RAIN,6130069.336181641
CO_lag2,6079529.149536133
O3_rm6,5725044.458862305
NO2_rm12,5633090.231079102
CO_lag3,5573349.763916016
WSPM_diff1,5543592.098266602
RAIN_rsum24,5254042.977172852
NO2_lag3,5221002.945556641
O3_lag3,5137528.835449219
NO2_rm3,4873404.526855469
NO2_rm6,4561454.677490234
wd_deg,4548775.139404297
WSPM_lag3,3727938.4127197266
RAIN_rsum6,3525594.9377441406
wd_sin,2540870.297729492
is_weekend,1956961.380859375
n_missing_poll,694374.8920898438
PM10_isna,55577.6708984375
calm,21747.300048828125
CO_isna,6798.77001953125
NO2_isna,5507.669921875
wd_missing,0.0
O3_isna,0.0
SO2_isna,0.0
