,gain
PM10_lag24,570578.537109375
CO_city_max,564659.2937011719
PM10_rm24,551466.9318847656
SO2_city_mean_lag3,550228.0187988281
WSPM_rm24,548615.3676757812
O3_city_mean_lag3,547454.7702636719
PRES_rm24,541997.9611816406
PM10_lag3,527126.0324707031
SO2_city_mean_rm24,520993.7585449219
O3_diff1,502979.7092285156
TEMP_rm24,486510.2177734375
NO2_city_mean_lag1,482150.62353515625
hour_sin,482038.7880859375
NO2_city_dev,471002.85986328125
PM10_lag12,469436.83740234375
DEWP_rm24,462740.1706542969
WSPM,461408.6120605469
SO2_city_dev,452246.1779785156
O3_city_mean_rm6,447803.509765625
wind_u_rm6,434358.59716796875
TEMP_lag3,430670.1569824219
O3_lag1,429299.2438964844
SO2_city_max,428817.9990234375
CO_rs24,427041.2370605469
SO2_city_mean_lag6,422293.7175292969
PRES_rm6,420239.4636230469
O3_city_mean_lag1,419076.55029296875
SO2_city_std,407314.0625
hour,405270.33935546875
NO2_lag24,404119.8427734375
PRES_lag3,392784.2331542969
PM10_rs24,387698.2900390625
SO2_city_mean_lag1,373145.5
NO2_rs6,363875.3908691406
O3_city_max,361770.23095703125
O3_rm24,351426.21826171875
dow,338247.96728515625
O3_city_mean,337962.62841796875
CO_lag24,333588.4694824219
O3_rmax24,332528.9089355469
SO2_dev24,324884.0673828125
SO2,319108.1171875
CO_rm6,312510.2687988281
TEMP,307254.0686035156
NO2_over_O3,303019.9577636719
O3_lag3,291807.7770996094
month,291516.3488769531
PRES_lag1,286617.9697265625
NO2_rmax24,282894.08203125
NO2_rmax6,279200.4958496094
CO_lag2,277133.7685546875
SO2_rs6,276910.4675292969
SO2_rs24,273834.4992675781
O3_lag12,273553.7419433594
O3_diff3,270906.32861328125
CO_rmax24,261522.72290039062
CO_rmax6,258373.20263671875
PM10_rmax24,254271.39013671875
SO2_rmax6,252216.75732421875
PRES,251715.87182617188
O3_rm12,247728.82153320312
NO2_rm3,243770.3798828125
PM10_rm12,237745.57958984375
NO2_rs24,237264.90966796875
O3_rs24,235965.392578125
NO2_lag2,232550.66967773438
NO2_rm12,230043.76977539062
SO2_rm24,224952.46948242188
NO2_lag12,224666.859375
O3_rs6,222834.34204101562
NO2_lag1,221731.48901367188
O3_city_min,221665.01733398438
O3_lag2,217776.88037109375
O3_lag6,209650.43115234375
WSPM_lag3,209345.77905273438
SO2_rmax24,209246.64721679688
CO_lag6,208958.77197265625
CO_rm3,208185.67163085938
O3,206948.0009765625
O3_city_dev,205323.25
CO_lag1,201493.86157226562
RAIN_rsum24,200225.46118164062
SO2_lag1,191762.98071289062
SO2_lag6,186643.36840820312
NO2_rm24,182272.20849609375
NO2_rmin24,181120.01049804688
NO2_lag3,179802.21118164062
O3_rmax6,176187.01977539062
SO2_lag3,168719.35961914062
TEMP_rm6,168534.38842773438
O3_rm6,167529.43090820312
SO2_rm6,167409.451171875
n_missing_poll,166349.87841796875
wd_sin,159308.41088867188
NO2_lag6,157609.15966796875
O3_rm3,154746.41015625
SO2_rmin24,151208.3193359375
SO2_lag12,143050.529296875
SO2_lag2,141853.9599609375
O3_rmin24,136307.49145507812
NO2_rm6,135529.09936523438
CO_lag3,135054.2197265625
SO2_rm12,124028.35986328125
SO2_rm3,123990.48046875
CO_rm12,101682.72143554688
is_weekend,74086.11669921875
wd_deg,65608.43017578125
n_stations_reporting,21270.639892578125
heating_season,12803.099609375
CO_isna,0.0
NO2_isna,0.0
wd_missing,0.0
calm,0.0
O3_isna,0.0
PM10_isna,0.0
SO2_isna,0.0
