,gain
pm25_rm3,2111705785.112793
pm25_lag1,1855382269.4094238
pm25_rm6,837538050.1838379
PM10,595163245.9699707
pm25_lag2,571647600.3205566
pm25_lag3,247788088.97607422
PM10_city_mean,120971290.12133789
pm25_diff1,112498709.7631836
pm25_rmax6,87529635.95361328
CO_city_mean,61311583.49633789
DEWP_diff3,59912469.997558594
PM10_diff3,56345437.15966797
NO2_city_mean_rm24,54072889.72924805
pm25_dev24,20372230.26538086
PM10_city_mean_diff1,20234313.46459961
CO_diff1,18870456.45727539
PM10_city_min,17221231.765625
PM10_lag1,16229664.850830078
PM10_diff1,13770969.245361328
CO_city_mean_diff1,11130354.263427734
rh,10239996.60131836
DEWP_diff24,9932344.662841797
PM10_city_mean_lag1,9619367.41796875
NO2_city_mean_rm6,8822799.889648438
CO_city_mean_rm24,8692475.92553711
CO_diff3,6829732.730224609
CO_city_min,6308283.256347656
WSPM_lag1,5892466.569580078
PM10_dev24,5137755.805908203
wind_v_rm6,4431096.8447265625
DEWP_diff1,4194114.1171875
CO_rmin24,4175787.1196289062
PM10_city_max,3385859.989013672
CO,3370280.444580078
NO2_diff1,3280246.2185058594
PM10_city_dev,3258710.8359375
NO2_city_min,3111945.360595703
wind_v,3048170.5747070312
SO2_city_min,2826889.90234375
pm25_rm24,2727099.0212402344
NO2_city_mean_diff1,2719601.916748047
TEMP_diff3,2663268.263671875
doy_cos,2637854.995361328
PRES_diff3,2600098.3984375
dewp_dep,2582879.098876953
NO2_city_mean,2499163.72265625
PM10_city_std,2487012.4318847656
PRES_diff24,2475605.6494140625
WSPM_rmax6,2437279.4541015625
RAIN,2336166.0693359375
DEWP_lag1,1771509.732421875
SO2_city_mean_diff1,1749542.4753417969
station_code,1652597.7666015625
NO2_city_max,1635893.8684082031
CO_rs6,1599958.9819335938
RAIN_rsum6,1593617.1218261719
NO2_diff3,1578569.9421386719
PM10_city_mean_rm24,1534799.7934570312
SO2_diff1,1389986.1528320312
SO2_city_mean_rm6,1356813.0268554688
PM10_rs6,1328820.7502441406
PM10_over_CO,1322737.2719726562
WSPM_rm6,1276719.3522949219
doy_sin,1201374.6159667969
CO_city_std,1199502.3195800781
TEMP_diff24,1163387.1354980469
PM10_rmin24,1146135.7746582031
DEWP_rm6,1091461.2602539062
PM10_city_mean_lag6,1089920.3288574219
DEWP,1079443.2431640625
PM10_rm3,1077083.3103027344
O3_city_mean_lag6,1047959.220703125
O3_city_mean_rm24,1039050.9040527344
PRES_diff1,1026579.5178222656
SO2_lag24,964343.1059570312
PM10_city_mean_rm6,933327.072265625
PM10_rmax6,918642.3547363281
hour_cos,907143.3715820312
NO2_city_mean_lag6,906258.0964355469
PM10_lag2,849990.8510742188
TEMP_diff1,844263.6669921875
WSPM_diff1,831390.6010742188
CO_dev24,830477.8051757812
O3_city_std,819454.4260253906
PM10_rm6,814478.375
WSPM_diff24,799701.9157714844
NO2,797878.9775390625
TEMP_lag1,789454.6901855469
wind_u,766445.3669433594
NO2_city_std,756324.3464355469
PM10_city_mean_lag3,740599.5571289062
O3_city_mean_diff1,730992.7839355469
PM10_lag6,729606.6313476562
O3_lag24,719380.7119140625
SO2_diff3,684780.8930664062
SO2_city_mean,676120.939453125
CO_rm24,668201.7878417969
CO_city_mean_rm6,659536.072265625
O3_dev24,659064.7585449219
NO2_city_mean_lag3,652048.5285644531
NO2_dev24,651746.7016601562
WSPM_diff3,632100.912109375
CO_lag12,623429.0500488281
CO_city_mean_lag6,623304.5930175781
CO_city_mean_lag1,619882.240234375
CO_city_dev,593915.5563964844
wd_cos,587146.5717773438
DEWP_lag3,580437.5183105469
CO_city_mean_lag3,572881.1806640625
