,gain
SO2_diff3,118.47781378030777
CO_lag2,115.40675538778305
O3_lag3,108.28418725728989
CO_lag3,107.41918045282364
SO2_rmax6,103.65411686897278
SO2_lag3,103.54392194747925
NO2_lag3,102.43004316091537
SO2_lag6,101.84135937690735
O3_rm6,101.63153755664825
n_stations_reporting,87.82974898815155
wd_deg,56.823870062828064
is_weekend,49.13138997554779
n_missing_poll,46.49533987045288
wd_sin,28.68548893928528
heating_season,26.43325960636139
PM10_isna,1.8341000080108643
wd_missing,0.0
calm,0.0
SO2_isna,0.0
NO2_isna,0.0
CO_isna,0.0
O3_isna,0.0
