,gain
PM10_city_dev,6479649.604644775
hour,6450938.317016602
SO2_dev24,6444035.652252197
O3_lag12,6339979.448760986
SO2_leadmax3,6339350.142730713
TEMP_diff3,6318747.360717773
WSPM_rm6,6266437.307022095
PM10_city_mean_diff1,6255117.393890381
SO2_city_dev,6190640.385925293
O3_lead6,6150290.669403076
CO_city_dev,6110786.35546875
O3_lag24,6022711.101776123
CO_rs6,6014502.594177246
CO_c13,5992205.3433532715
PM10_diff3,5982910.609619141
NO2_leadmax3,5903279.475280762
O3_c13,5886950.686676025
SO2_lead6,5883259.144622803
DEWP_diff1,5846770.46194458
NO2_city_mean_lag3,5755017.77746582
nc_rm6,5713411.665679932
NO2_lag24,5704075.685302734
O3_dev24,5688954.197814941
O3_city_dev_lead1,5684860.076599121
SO2_lead1_diff,5613442.626068115
O3_lead1,5583759.023895264
NO2_lead6,5521601.280395508
NO2_over_O3,5466338.308959961
NO2_lag12,5357699.103088379
NO2_c13,5252770.903839111
CO_lead6,5229601.4880981445
CO_leadrm3,5228101.887756348
O3_leadrm6,5222978.516189575
SO2_lag12,5201720.938446045
NO2_rmax6,5124691.475799561
CO_c5,5001462.445465088
SO2,4998148.253753662
CO_diff1,4971837.3152771
CO,4912390.787475586
NO2_rm12,4880007.676300049
NO2_dev24,4862174.510223389
SO2_diff3,4859165.8487854
WSPM_lag1,4839239.983337402
O3_lag6,4829926.1781311035
NO2_leadrm6,4798045.8785095215
SO2_c5,4792368.298706055
CO_lag12,4700563.334686279
SO2_lag6,4684011.055053711
NO2_lead1,4668802.754440308
PM10_lag6,4659754.698699951
CO_city_mean_diff1,4630264.26991272
O3_rmax6,4585448.537963867
O3_leadmax3,4545378.82611084
DEWP_lead1_diff,4492200.1390686035
SO2_rmax6,4462432.963043213
NO2_city_dev,4454745.056549072
SO2_lead2,4432585.551818848
SO2_rm6,4365215.821228027
SO2_leadrm3,4328994.100265503
NO2_lag6,4314663.838378906
NO2_lead3,4301661.094665527
SO2_rs6,4232303.16758728
PM10_lag2,4184109.0248413086
TEMP_diff1,4142292.1304626465
RAIN_rsum24,4093672.758911133
O3_city_dev,4041031.830718994
PM10_rm6,4017230.1347961426
O3_lead2,3988212.5752868652
SO2_lag3,3946832.7196350098
O3_leadrm3,3943818.102783203
O3_lead3,3932944.212158203
NO2_lead1_diff,3929877.4022979736
SO2_lead3,3886566.060409546
nc_lag3,3833500.6729431152
CO_rm6,3826421.258026123
O3_c5,3772481.6856689453
hour_cos,3735481.358734131
NO2_leadrm3,3720337.009399414
NO2_diff1,3680862.0147094727
SO2_lag1,3638205.9982910156
NO2_rs6,3629469.402618408
O3_diff3,3620036.9635009766
wind_v_lead1,3529072.7674865723
SO2_city_mean_diff1,3516785.878768921
O3_city_mean_diff1,3505126.726928711
NO2_lead2,3494865.0674743652
O3_lag3,3494597.069091797
PM10_lag3,3477366.7471618652
CO_rm3,3439546.082458496
O3_rm3,3416390.9946899414
nc_lag2,3388105.6411132812
WSPM_diff24,3381058.958251953
O3,3355589.857269287
CO_diff3,3283201.235015869
SO2_lag2,3258742.2919006348
CO_lead3,3217808.146118164
O3_lag1,3159588.099761963
hour_sin,3145824.175048828
O3_rm6,3130662.791290283
CO_lag6,3116786.161743164
CO_lead2,3072059.0102539062
NO2_rm6,3064490.1860351562
NO2_c5,3035916.299560547
CO_rmax6,2993066.4465637207
wind_v,2926981.7950439453
TEMP_lead1_diff,2910750.8076171875
O3_lead1_diff,2817775.3565063477
wind_u_lead1,2713790.353790283
O3_lag2,2680499.955230713
wind_u,2662834.98928833
NO2_city_mean_diff1,2641256.0010681152
O3_lead2_diff,2639380.888153076
CO_lag2,2617306.4652404785
SO2_rm3,2601888.5545959473
CO_lag1,2550011.9243164062
NO2_diff3,2541940.3608703613
NO2,2510782.365661621
NO2_lag2,2465743.6733398438
NO2_lag3,2419873.447555542
NO2_lag1,2338156.3622436523
O3_diff1,2206948.3846740723
CO_lag3,2205823.529663086
WSPM_lead1,2112500.8090820312
NO2_rm3,2043231.2509155273
WSPM_lead2,1785115.428314209
SO2_diff1,1744495.3449707031
WSPM_lag3,1689904.3907165527
is_weekend,1687582.223083496
WSPM_diff3,1525614.8366088867
WSPM,1455728.1698608398
wd_deg_lead1,1391182.1956634521
RAIN_rsum6,1303568.0065917969
WSPM_lead1_diff,1215017.8535766602
WSPM_diff1,1211474.869216919
wd_deg,1030366.4027099609
wd_sin,794100.1329345703
wd_cos,781907.7156677246
RAIN,206395.00805664062
n_missing_poll,180653.25079345703
RAIN_lead1,174979.03747558594
calm,26932.584014892578
CO_isna,22003.82098388672
O3_isna,0.0
wd_missing,0.0
PM10_isna,0.0
NO2_isna,0.0
SO2_isna,0.0
