,gain
PM10,1046902.3550217748
PM10_city_mean,325919.6077386737
CO_city_mean,219286.71875280142
CO,94873.26352131367
CO_city_min,77499.69653224945
PM10_city_mean_lag1,55425.04814213514
wind_v_rm6,31625.09254449606
PM10_city_min,29167.304501354694
CO_city_mean_lag1,27078.89758491516
PM10_rm3,25530.58731174469
CO_city_mean_rm6,16438.362685084343
CO_rm3,11235.592573404312
dewp_dep,11232.468008518219
doy_sin,10387.89281976223
DEWP,9012.815240561962
CO_city_mean_rm24,8896.636945009232
wind_v,7834.700333595276
PM10_lag1,7144.839876413345
rh,7083.848531842232
DEWP_lag1,7007.814592003822
PM10_city_dev,6730.127397239208
station_code,6373.734676718712
doy_cos,6195.961507320404
DEWP_diff24,6181.607524871826
CO_rmin24,6041.632156729698
PM10_rm6,5942.08574950695
month,5591.292295217514
PM10_rmin24,5102.823073327541
NO2,5067.852838277817
DEWP_diff3,4938.206159889698
WSPM_rmax6,3817.187593460083
DEWP_rm6,3719.5241910219193
NO2_city_min,3695.0325100421906
CO_city_mean_diff1,3510.2802469730377
TEMP_rm24,3466.521635591984
CO_diff1,3246.2295442819595
TEMP_diff3,2941.3322063684464
PM10_city_mean_rm24,2896.2507739067078
DEWP_rm24,2886.1214492321014
CO_lag1,2587.5123162269592
hour,2516.364665925503
SO2,2504.884293615818
DEWP_lag3,2384.8969153165817
PM10_city_mean_diff1,2348.6964417696
PRES_diff24,2251.512540459633
NO2_city_mean,2248.378692626953
PM10_diff1,2224.3090490698814
PRES_rm24,2170.7797914147377
SO2_city_min,2156.606724023819
SO2_city_mean_rm24,2115.5957660079002
wd_cos,2072.878924846649
NO2_city_mean_rm24,1970.8000738620758
O3_city_mean_rm24,1945.514658689499
CO_city_mean_lag6,1939.481234073639
O3_rmax24,1863.503591299057
PM10_city_mean_rm6,1848.8107361793518
CO_city_dev,1823.8278255462646
PM10_over_CO,1762.032008588314
TEMP_lag1,1757.5751084685326
PRES_diff3,1741.1050473451614
O3_city_mean_lag1,1607.597539782524
NO2_city_dev,1583.1821884512901
SO2_city_mean,1501.95544475317
PM10_dev24,1501.166357755661
O3_city_max,1497.7045747041702
O3_rs24,1490.9356445074081
RAIN_rsum24,1446.1438742876053
NO2_rmin24,1376.6942176818848
TEMP_diff24,1360.7272773981094
CO_city_std,1356.4343340992928
TEMP,1313.0065390467644
NO2_diff1,1301.076527953148
CO_rm24,1256.953743338585
O3_city_mean,1197.2914848327637
SO2_rmin24,1196.0095917582512
