,gain
PM10_c5,4498837996.842041
PM10_lead1,2595216954.3830566
PM10_leadrm3,667271589.0178223
PM10_city_mean_lead1,556148014.7490234
CO_city_mean_lead1,517845732.5755615
PM10,309936102.72717285
CO_city_mean,235128543.37109375
PM10_city_mean_lag1,141776282.3218994
CO_lead1,137009772.35131836
CO_city_min,128115867.43969727
CO_city_mean_lead2,125745049.86010742
CO_city_mean_rm6,96216404.85253906
CO_c13,85410111.53344727
CO_c5,81564933.97106934
CO_city_mean_rm24,71621491.42883301
CO_leadrm3,70472980.06262207
dewp_dep,63882474.9654541
PM10_c13,62711678.04174805
doy_sin,49964834.916381836
doy_cos,46173100.126831055
rh,41717707.60095215
CO_rmin24,40745223.82885742
PM10_rm3,38686730.35046387
PM10_city_mean,38594728.920288086
station_code,34138749.8873291
CO_city_mean_lag1,30569904.28491211
DEWP_rm6,30163906.592163086
PM10_city_min,28951205.750976562
DEWP_lag1,23294255.49609375
CO,22694335.537231445
month,22473826.46533203
CO_city_mean_lag6,21902089.438720703
CO_rm24,21276694.34033203
PM10_city_mean_rm6,17622162.471679688
PM10_city_mean_lead2,17267626.00842285
DEWP_lag3,17215630.286132812
PM10_city_mean_rm24,16622092.742797852
TEMP_rm24,16474070.709594727
NO2_city_mean_rm24,15790711.300292969
PM10_city_dev_lead1,15762071.366577148
DEWP,15490367.597167969
PRES_rm24,15433377.41809082
CO_leadmax3,14920747.699584961
PM10_lag1,13449042.410888672
DEWP_rm24,12551670.818969727
PM10_lead2_diff,12365141.492553711
SO2_city_mean_rm24,11891861.878417969
CO_city_mean_lag3,10866497.114013672
RAIN_rsum24,10851631.417114258
PRES_diff24,10395200.705688477
CO_city_dev_lead1,9952017.93359375
PM10_lead1_diff,9692655.39855957
O3_city_mean_rm24,8960111.143920898
PM10_leadmax3,8544285.279541016
DEWP_lead1,8443719.582519531
PM10_rmax24,7962974.705322266
PM10_rmin24,7856367.681518555
wind_v_rm6,7644158.494262695
SO2_lead1,7019661.430175781
WSPM_rm24,6930763.883056641
SO2_city_mean_lead1,6884664.709594727
O3_city_min,6812386.368530273
CO_city_mean_lead3,6508686.299560547
PM10_rs24,5838897.380859375
PM10_city_mean_lead3,5753549.008422852
DEWP_diff1,5496021.505493164
PRES_lag1,5470959.866943359
PM10_diff1,5288328.965209961
PM10_dev24,5262089.894287109
DEWP_lead2,5193970.683105469
PM10_city_mean_lag3,5115132.742553711
O3_rmin24,5040159.67980957
SO2_city_mean_lag6,4955372.848999023
PM10_leadrm6,4889006.588378906
CO_city_max_lead1,4763295.277832031
PRES_lag3,4701856.663208008
SO2_city_mean_lead3,4682494.72644043
SO2_city_min,4657180.215209961
PRES_rm6,4568488.397277832
NO2_rmax24,4550472.116088867
SO2_city_mean_lead2,4508988.901733398
PM10_city_mean_lag6,4483971.765380859
O3_rmax24,4433967.701293945
NO2_rs24,4362084.95300293
TEMP_diff3,4262929.512939453
NO2_city_mean_lead1,4191416.9384765625
TEMP_lag3,4089701.7559814453
SO2_city_mean_rm6,4033013.381225586
TEMP_diff24,4004370.540283203
NO2_city_min,4002968.65625
NO2_rmin24,3946622.7255859375
PM10_city_std,3920803.5751953125
PM10_rmax6,3914095.518432617
O3_city_mean_lag6,3899349.707397461
PM10_lead2,3884046.7204589844
SO2_rmax24,3837803.863647461
PM10_rm24,3830186.7006835938
CO_leadrm6,3817035.421142578
DEWP_diff24,3810833.462158203
PM10_city_max_lead1,3710848.1424560547
PRES_diff3,3698978.5892333984
CO_rs24,3660538.1220703125
PRES_lead2,3640176.483154297
SO2_city_max_lead1,3617118.0509033203
dow,3558374.1174316406
DEWP_diff3,3431674.8013916016
PRES_lead1,3409495.8486328125
PM10_over_CO,3406110.3690185547
NO2_city_mean_lead3,3357791.306274414
PM10_city_max,3302521.8569335938
O3_city_mean_rm6,3293190.540283203
O3_lead1,3284134.6279296875
SO2_rmin24,3261949.4060058594
O3_city_std,3194580.6431884766
O3_city_max_lead1,3178113.301147461
O3_city_max,3086379.9068603516
CO_lead2_diff,3075915.9251708984
CO_rmax24,3068044.2072753906
PM10_lead3,3014753.1391601562
NO2_city_max_lead1,2999768.8127441406
O3_rs24,2958943.75
SO2_city_mean,2933947.842163086
O3_city_mean_lead2,2829758.331298828
TEMP_lead2,2810400.9943847656
PM10_city_dev,2806332.9459228516
NO2_city_mean_lead2,2805185.7982177734
SO2_city_dev_lead1,2773145.305419922
SO2_rm12,2766587.3768310547
O3_city_mean_lag1,2765222.5771484375
CO_city_std,2698654.233276367
SO2_c13,2697269.2807617188
WSPM_lag1,2667090.4569091797
NO2_leadmax3,2627498.3939208984
NO2_leadrm6,2602693.7866210938
CO_rm12,2593659.217895508
PM10_lead6,2579610.439086914
O3_city_mean_diff1,2559989.880493164
NO2_city_dev_lead1,2557507.460571289
SO2_rs24,2486978.7221679688
CO_lead1_diff,2411292.8841552734
TEMP_diff1,2366750.0721435547
