,gain
PM10,5112099185.026367
PM10_city_mean,2403426636.444824
CO_city_mean,627714031.8823242
CO_city_min,427790345.6621094
PM10_city_mean_lag1,379722097.1279297
CO,242433689.1982422
PM10_rm3,178733916.08447266
CO_city_mean_rm6,145444575.80273438
CO_city_mean_lag1,144743209.140625
PM10_city_min,138254090.66259766
dewp_dep,102512554.19189453
CO_city_mean_rm24,81347368.27636719
PM10_city_mean_rm6,73747473.46679688
rh,54077490.92089844
PM10_lag1,52959592.39160156
CO_rmin24,52530252.31640625
PM10_rm6,46944637.59472656
doy_cos,44400751.165527344
doy_sin,41332768.87158203
PM10_city_dev,36489740.3515625
DEWP,32271132.787109375
month,28873515.10888672
DEWP_lag1,27536569.104003906
PM10_diff1,26614271.6328125
NO2_city_mean_rm24,26260274.62158203
DEWP_diff3,25745339.822265625
wind_v_rm6,24383160.22314453
PM10_rmin24,23492917.665527344
station_code,22261776.93310547
CO_rm3,20330506.345703125
TEMP_rm24,17253050.115234375
DEWP_rm6,16868922.24560547
DEWP_diff24,16793422.376464844
PM10_city_mean_rm24,16768656.44140625
CO_diff1,16654360.909179688
SO2_city_mean,16604749.032226562
CO_city_mean_lag6,16254625.170898438
SO2_city_mean_rm24,15223442.651367188
TEMP_diff3,14677140.409667969
PRES_rm24,13770374.897460938
CO_city_mean_diff1,13604976.888671875
PM10_dev24,12451487.585449219
DEWP_rm24,12328874.423828125
SO2_city_min,11938112.488769531
CO_city_dev,11630085.531738281
PM10_city_mean_diff1,11543146.236328125
PRES_diff24,10403081.323730469
PM10_over_CO,10237814.442382812
PM10_city_max,9614684.555664062
PM10_rmax6,9295580.366210938
NO2_city_min,9231388.114257812
DEWP_lag3,9226868.806640625
PM10_city_std,9192584.079101562
CO_city_mean_lag3,9064961.959960938
WSPM_lag1,9064616.750488281
WSPM_rmax6,8440449.119628906
PM10_city_mean_lag3,8202530.4541015625
wind_v,8057807.5419921875
NO2_city_mean,8006767.162109375
NO2,7902088.2138671875
O3_city_min,7568281.255371094
WSPM_rm24,7545637.4462890625
PM10_rmax24,7085250.109375
PRES_diff3,7059048.330078125
PRES_lag3,7034598.615722656
O3_city_mean,6966627.153808594
CO_lag1,6842026.875488281
DEWP_diff1,6821851.726074219
SO2,6644853.617675781
TEMP_diff24,6631125.384765625
CO_rm24,6290963.03515625
O3_city_mean_rm24,6256162.5439453125
SO2_city_mean_rm6,5696602.048828125
NO2_diff1,5543351.9013671875
PM10_rm24,5492548.426269531
NO2_city_mean_rm6,5025619.357421875
PRES_rm6,4865244.5390625
RAIN_rsum24,4805088.192871094
NO2_city_dev,4802041.469238281
SO2_city_mean_lag6,4574132.6005859375
dow,4567508.9599609375
TEMP_diff1,4562856.94140625
O3_city_std,4432307.369140625
PM10_diff3,4425744.784667969
RAIN,4382466.41796875
O3_city_mean_lag1,4366522.3251953125
WSPM,4318821.792480469
NO2_city_max,4297644.927246094
SO2_city_mean_lag3,4267960.46875
PRES_lag1,4154660.72265625
SO2_city_max,4147719.1030273438
CO_city_std,4119867.1259765625
O3_city_mean_lag3,4046260.3305664062
PM10_rs24,3993693.05078125
O3_city_mean_rm6,3991255.8349609375
O3_city_mean_lag6,3944613.587890625
hour_cos,3857159.1162109375
SO2_city_mean_lag1,3837927.7158203125
NO2_rmax24,3815158.8115234375
PM10_city_mean_lag6,3800828.80078125
hour,3755858.9677734375
NO2_rmin24,3666662.1796875
NO2_city_mean_diff1,3642208.80078125
NO2_city_mean_lag1,3619744.00390625
O3_city_max,3513605.7021484375
CO_rmax24,3320819.333984375
O3_diff3,3301846.1303710938
SO2_city_mean_diff1,3295077.0859375
CO_rs24,3283707.853515625
TEMP_lag3,3250775.3798828125
PM10_rm12,3219084.8623046875
O3_rmin24,3084203.9677734375
SO2_rmax24,2997278.9643554688
NO2_city_std,2906534.2749023438
wd_cos,2879420.654296875
CO_rm6,2829905.650390625
O3_city_mean_diff1,2791530.2099609375
O3_rmax24,2727572.5009765625
O3,2704772.849609375
SO2_diff1,2672786.1840820312
PM10_rs6,2649727.5678710938
NO2_rs24,2609083.8930664062
CO_dev24,2606798.1430664062
O3_rs24,2514878.97265625
hour_sin,2429061.7734375
TEMP_lag1,2415534.5673828125
TEMP,2385068.46484375
NO2_dev24,2373929.4931640625
SO2_city_std,2330454.3515625
SO2_dev24,2317983.95703125
SO2_rm12,2257936.6015625
SO2_rm24,2223944.2084960938
NO2_city_mean_lag6,2181345.6782226562
O3_rm24,2153779.251953125
CO_city_max,2073309.8125
SO2_rmin24,2065202.4140625
PRES,1973719.2021484375
SO2_city_dev,1968836.3325195312
CO_rm12,1966991.3188476562
NO2_rm24,1856043.0419921875
RAIN_rsum6,1799098.1137695312
SO2_lag24,1698807.1806640625
CO_rmax6,1621751.2734375
O3_dev24,1610145.779296875
WSPM_diff24,1603201.7416992188
SO2_rs24,1592663.3745117188
O3_rm12,1557442.9819335938
PM10_lag12,1519372.9814453125
NO2_over_O3,1517110.1669921875
PM10_lag2,1503800.775390625
TEMP_rm6,1488008.3833007812
PRES_diff1,1484816.30078125
WSPM_rm6,1470524.0161132812
wind_u_rm6,1397653.0966796875
NO2_diff3,1375008.9677734375
O3_lag3,1371296.5390625
NO2_lag24,1366357.36328125
O3_lag12,1361925.0415039062
O3_lag1,1347302.2568359375
CO_lag24,1314115.2084960938
O3_rmax6,1267288.3051757812
O3_lag6,1253085.8530273438
O3_lag24,1190292.4033203125
NO2_city_mean_lag3,1162099.9990234375
PM10_lag24,1160573.9296875
SO2_rm3,1149666.1455078125
NO2_rmax6,1145963.2973632812
SO2_rmax6,1128286.869140625
SO2_diff3,1126693.1459960938
O3_rm6,1123677.0302734375
CO_lag12,1122912.17578125
CO_diff3,1089190.244140625
SO2_lag6,1071738.3984375
O3_rm3,1056721.5927734375
O3_diff1,1009701.4072265625
NO2_rm12,827720.3681640625
WSPM_diff3,809938.21875
PM10_lag6,771494.1611328125
CO_rs6,771347.9116210938
O3_rs6,769290.9399414062
WSPM_diff1,754542.099609375
wind_u,750219.0361328125
PM10_lag3,729012.5415039062
n_stations_reporting,718501.9458007812
SO2_lag2,703597.3447265625
CO_lag6,700884.9194335938
O3_city_dev,669021.4760742188
NO2_rm3,660610.986328125
O3_lag2,628939.892578125
NO2_rs6,625389.1674804688
SO2_rs6,607483.310546875
CO_lag3,584076.9829101562
SO2_lag12,562567.8935546875
SO2_rm6,556993.8125
SO2_lag3,552225.9423828125
NO2_lag3,518628.23828125
SO2_lag1,479330.94140625
NO2_lag12,428720.2021484375
wd_deg,383636.30078125
NO2_lag2,348374.29248046875
NO2_lag6,345870.7001953125
n_missing_poll,343021.501953125
CO_lag2,318841.9912109375
NO2_rm6,267301.72021484375
NO2_lag1,264962.71142578125
wd_sin,247151.58837890625
WSPM_lag3,153870.23046875
is_weekend,57856.2001953125
SO2_isna,56519.3984375
heating_season,46373.0009765625
calm,14490.599609375
wd_missing,0.0
PM10_isna,0.0
NO2_isna,0.0
