,gain
PM10_lead3,308566.099609375
O3_c13,300873.197265625
SO2_city_mean_lead3,295968.1015625
O3_leadmax3,290374.404296875
WSPM_rm6,288913.3984375
SO2_lead6,282772.197265625
PM10_rm6,279455.802734375
WSPM_lag1,268417.796875
CO_diff1,259837.1015625
O3_lead6,258848.900390625
TEMP_lead1,258489.501953125
NO2_lag6,255534.59765625
NO2_lag1,250893.900390625
O3_c5,250617.40234375
NO2_city_dev,249544.099609375
O3,248939.197265625
DEWP_lead1_diff,242939.30078125
SO2_lag3,240925.201171875
SO2_leadmax3,228738.298828125
PM10_city_mean_diff1,222086.998046875
SO2_lag6,215332.193359375
NO2_lead2_diff,214656.396484375
PM10_lag2,212678.197265625
O3_lead3,211715.19921875
NO2_city_mean_lag3,211141.5
O3_diff1,210019.498046875
CO_diff3,208537.400390625
NO2_city_std,203738.203125
NO2_rmin24,198535.796875
NO2_lag24,193351.40234375
wind_u_lead1,192560.30078125
NO2_c5,191623.798828125
NO2_over_O3,189924.802734375
SO2_city_mean,187619.30078125
SO2_city_dev,182802.794921875
SO2_city_max,176878.8984375
O3_leadrm3,172759.400390625
PM10_lag12,163947.69921875
TEMP_diff1,163561.798828125
O3_lead1_diff,159224.998046875
O3_rs6,156959.90234375
n_stations_reporting,156565.294921875
CO_rs6,152013.900390625
SO2,150815.501953125
O3_city_dev_lead1,132580.5009765625
O3_lag2,128402.50390625
CO_rmax6,127835.89453125
PRES_diff1,126673.900390625
NO2_rm12,125198.80078125
SO2_lag2,121406.0
CO_rm3,121186.8984375
NO2,116213.19921875
CO_lag6,113853.701171875
SO2_lead2_diff,112381.0
CO_lead1_diff,112026.599609375
NO2_lead1_diff,111860.40234375
CO_lead3,108325.19921875
WSPM_lead2,107709.19921875
NO2_diff3,101326.400390625
O3_city_dev,90785.80078125
RAIN,84408.6015625
CO_lag3,81296.498046875
CO_city_mean_diff1,79922.8984375
SO2_rm3,76429.19921875
wind_u,74920.69921875
O3_lag24,71888.099609375
WSPM_lead1,70115.0
NO2_rmax6,69192.5009765625
SO2_diff1,68711.298828125
O3_lag1,68529.19921875
TEMP,67380.5
PM10_lag6,61900.400390625
PM10_lag3,61233.1015625
NO2_rm3,57769.19921875
SO2_lead3,56621.099609375
NO2_lag12,52785.798828125
SO2_lead2,52579.0
TEMP_lead1_diff,51821.1015625
WSPM,50947.19921875
NO2_lead3,50751.30078125
NO2_rs6,47937.19921875
NO2_lag2,45338.900390625
NO2_lag3,45072.19921875
heating_season,44951.0
RAIN_lead1,43728.8984375
SO2_lead1_diff,41658.5
SO2_rs6,40730.3984375
SO2_leadrm3,40313.69921875
SO2_lag1,37380.19921875
WSPM_lag3,34470.1015625
O3_rm3,34217.798828125
n_missing_poll,32261.69921875
NO2_rm6,28636.80078125
RAIN_rsum6,24919.099609375
CO_lag1,21894.400390625
O3_lead2_diff,21817.80078125
PM10_diff3,17030.0
NO2_diff1,0.0
WSPM_lead1_diff,0.0
wd_deg_lead1,0.0
SO2_city_mean_diff1,0.0
CO_lead2,0.0
wd_deg,0.0
wd_sin,0.0
wd_cos,0.0
wd_missing,0.0
calm,0.0
NO2_city_mean_diff1,0.0
SO2_diff3,0.0
PM10_isna,0.0
SO2_isna,0.0
NO2_isna,0.0
CO_isna,0.0
O3_isna,0.0
WSPM_diff1,0.0
WSPM_diff3,0.0
WSPM_diff24,0.0
NO2_lead2,0.0
